crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
utf8parse,151660067,34844263,2024-06-08T07:07:41.813419Z,2016-09-18T00:27:10.771511Z,0.2.2,Table-driven UTF-8 parser,https://github.com/alacritty/vte,260,65,9,Apache License 2.0,0.22975239091777536,2024-06-08 07:07:41.813419+00:00,304,2016-09-18 00:27:10.771511+00:00,3124,0
winapi-x86_64-pc-windows-gnu,150719641,21511469,2018-01-18T00:55:12.008307Z,2016-11-23T19:48:47.829720Z,0.4.0,"Import libraries for the x86_64-pc-windows-gnu target. Please don't use this crate directly, depend on winapi instead.",https://github.com/retep998/winapi-rs,1870,393,277,Apache License 2.0,0.1427250546595981,2018-01-18 00:55:12.008307+00:00,2637,2016-11-23 19:48:47.829720+00:00,3057,0
siphasher,150432743,28187802,2024-03-17T21:59:01.698376Z,2016-10-04T10:23:48.249538Z,1.0.1,"SipHash-2-4, SipHash-1-3 and 128-bit variants in pure Rust",https://github.com/jedisct1/rust-siphash,62,16,0,Other,0.1873781029173948,2024-03-17 21:59:01.698376+00:00,386,2016-10-04 10:23:48.249538+00:00,3108,0
bstr,150394556,24131578,2025-04-08T16:37:00.152093Z,2018-10-09T22:14:04.467612Z,1.12.0,A string type that is not required to be valid UTF-8.,https://github.com/BurntSushi/bstr,905,62,25,Other,0.16045512977211754,2025-04-08 16:37:00.152093+00:00,0,2018-10-09 22:14:04.467612+00:00,2372,0
winapi-i686-pc-windows-gnu,149599004,21417987,2018-01-18T00:55:38.910834Z,2016-11-23T19:48:14.544324Z,0.4.0,"Import libraries for the i686-pc-windows-gnu target. Please don't use this crate directly, depend on winapi instead.",https://github.com/retep998/winapi-rs,1870,393,277,Apache License 2.0,0.14316931548554962,2018-01-18 00:55:38.910834+00:00,2637,2016-11-23 19:48:14.544324+00:00,3057,0
sha1,149329116,25935825,2025-03-05T21:17:46.043315Z,2014-11-21T12:56:35.586016Z,0.11.0-pre.5,SHA-1 hash function,https://github.com/RustCrypto/hashes,1997,269,26,,0.17368230452793948,2025-03-05 21:17:46.043315+00:00,33,2014-11-21 12:56:35.586016+00:00,3791,0
petgraph,149095993,26021240,2025-04-07T09:58:12.070960Z,2015-01-11T20:07:47.311473Z,0.8.1,Graph data structure library. Provides graph types and graph algorithms.,https://github.com/petgraph/petgraph,3237,366,221,Apache License 2.0,0.17452675606111023,2025-04-07 09:58:12.070960+00:00,1,2015-01-11 20:07:47.311473+00:00,3739,0
fixedbitset,148369424,26212650,2024-04-14T23:53:05.918820Z,2015-04-03T11:26:51.825003Z,0.5.7,FixedBitSet is a simple bitset collection,https://github.com/petgraph/fixedbitset,134,48,12,Apache License 2.0,0.17667150881437674,2024-04-14 23:53:05.918820+00:00,358,2015-04-03 11:26:51.825003+00:00,3658,0
tower,148052289,40893539,2024-12-11T13:26:44.329531Z,2016-12-23T17:20:31.319203Z,0.5.2,"Tower is a library of modular and reusable components for building robust
clients and servers.
",https://github.com/tower-rs/tower,3742,292,83,MIT License,0.2762101097943849,2024-12-11 13:26:44.329531+00:00,118,2016-12-23 17:20:31.319203+00:00,3028,0
anstream,147841173,36014724,2024-11-04T18:02:39.562359Z,2023-03-16T14:54:31.795594Z,0.6.18,A simple cross platform library for writing colored text to a terminal.,https://github.com/rust-cli/anstyle,131,24,14,Other,0.24360415484528117,2024-11-04 18:02:39.562359+00:00,154,2023-03-16 14:54:31.795594+00:00,754,0
sct,147840454,15977816,2023-10-24T14:57:55.376462Z,2017-07-09T19:54:37.366366Z,0.7.1,Certificate transparency SCT verification library,https://github.com/rustls/sct.rs,51,40,0,Other,0.1080747222272464,2023-10-24 14:57:55.376462+00:00,532,2017-07-09 19:54:37.366366+00:00,2829,0
toml_datetime,146797010,33896539,2024-07-30T13:56:51.275733Z,2022-10-21T16:38:58.820519Z,0.6.8,A TOML-compatible datetime type,https://github.com/toml-rs/toml,800,117,81,Apache License 2.0,0.23090755731332674,2024-07-30 13:56:51.275733+00:00,252,2022-10-21 16:38:58.820519+00:00,900,0
anstyle-parse,145441883,35601246,2024-10-24T20:00:25.445841Z,2023-03-08T21:17:13.852775Z,0.2.6,Parse ANSI Style Escapes,https://github.com/rust-cli/anstyle,131,24,14,Other,0.24477987540906632,2024-10-24 20:00:25.445841+00:00,165,2023-03-08 21:17:13.852775+00:00,761,0
tokio-stream,144641132,24867607,2024-12-06T10:20:07.445232Z,2020-12-03T23:05:27.160680Z,0.1.17,"Utilities to work with `Stream` and `tokio`.
",https://github.com/tokio-rs/tokio,28291,2593,344,MIT License,0.17192624709270113,2024-12-06 10:20:07.445232+00:00,123,2020-12-03 23:05:27.160680+00:00,1586,0
vcpkg,143924889,26808426,2021-06-19T16:35:46.573605Z,2017-04-20T21:35:56.630487Z,0.2.15,"A library to find native dependencies in a vcpkg tree at build
time in order to be used in Cargo build scripts.
",https://github.com/mcgoo/vcpkg-rs,108,24,12,Apache License 2.0,0.1862667825298792,2021-06-19 16:35:46.573605+00:00,1389,2017-04-20 21:35:56.630487+00:00,2909,0
convert_case,143528211,27005701,2025-02-26T21:04:43.219122Z,2020-04-17T00:48:33.267470Z,0.8.0,Convert strings into any case,https://github.com/rutrum/convert-case,139,10,4,MIT License,0.18815604829074334,2025-02-26 21:04:43.219122+00:00,40,2020-04-17 00:48:33.267470+00:00,1817,0
anstyle-query,140391327,35499493,2024-10-24T20:00:29.222156Z,2023-04-13T14:40:53.104785Z,1.1.2,Look up colored console capabilities,https://github.com/rust-cli/anstyle,131,24,14,Other,0.25286101184868776,2024-10-24 20:00:29.222156+00:00,165,2023-04-13 14:40:53.104785+00:00,726,0
js-sys,140271034,23671844,2025-01-12T23:18:16.405956Z,2018-07-19T19:42:36.874339Z,0.3.77,"Bindings for all JS global objects and functions in all JS environments like
Node.js and browsers, built on `#[wasm_bindgen]` using the `wasm-bindgen` crate.
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/js-sys,,,,,0.1687578919536588,2025-01-12 23:18:16.405956+00:00,85,2018-07-19 19:42:36.874339+00:00,2454,1
ident_case,138555276,26443957,2019-03-18T20:07:20.426691Z,2017-05-10T19:51:31.395527Z,1.0.1,Utility for applying case rules to Rust identifiers.,https://github.com/TedDriggs/ident_case,3,0,1,MIT License,0.19085492637609844,2019-03-18 20:07:20.426691+00:00,2212,2017-05-10 19:51:31.395527+00:00,2889,0
ansi_term,137772867,8957297,2019-09-02T10:16:04.908577Z,2014-11-26T00:50:42.101172Z,0.12.1,"Library for ANSI terminal colours and styles (bold, underline)",https://github.com/ogham/rust-ansi-term,467,77,27,MIT License,0.06501495682745718,2019-09-02 10:16:04.908577+00:00,2045,2014-11-26 00:50:42.101172+00:00,3786,0
colorchoice,137703761,35370944,2024-10-24T20:00:36.947622Z,2023-04-13T14:41:28.859123Z,1.0.3,Global override of color control,https://github.com/rust-cli/anstyle,131,24,14,Other,0.2568625848933785,2024-10-24 20:00:36.947622+00:00,165,2023-04-13 14:41:28.859123+00:00,726,0
phf,137373671,25366707,2025-01-06T20:32:46.521816Z,2014-11-22T22:27:53.644783Z,0.11.3,Runtime support for perfect hash function data structures,https://github.com/rust-phf/rust-phf,1910,122,31,MIT License,0.18465479458578346,2025-01-06 20:32:46.521816+00:00,91,2014-11-22 22:27:53.644783+00:00,3789,0
half,136958756,29152543,2025-04-08T04:50:59.620770Z,2016-03-18T05:04:29.255020Z,2.6.0,Half-precision floating point f16 and bf16 types for Rust implementing the IEEE 754-2008 standard binary16 and bfloat16 types.,https://github.com/VoidStarKat/half-rs,247,59,17,Apache License 2.0,0.21285636531336485,2025-04-08 04:50:59.620770+00:00,0,2016-03-18 05:04:29.255020+00:00,3308,0
matchers,136958431,25085283,2024-07-01T22:20:07.033866Z,2019-08-02T20:31:26.476346Z,0.2.0,"Regex matching on character and byte streams.
",https://github.com/hawkw/matchers,11,8,4,MIT License,0.18315983044519546,2024-07-01 22:20:07.033866+00:00,280,2019-08-02 20:31:26.476346+00:00,2075,0
unicase,135635968,20370458,2024-12-24T15:31:12.424515Z,2015-01-09T20:05:24.122027Z,2.8.1,A case-insensitive wrapper around strings.,https://github.com/seanmonstar/unicase,80,51,14,Apache License 2.0,0.150184779895551,2024-12-24 15:31:12.424515+00:00,105,2015-01-09 20:05:24.122027+00:00,3741,0
num-rational,134290497,22403129,2025-01-25T00:45:16.565243Z,2016-04-14T07:42:39.085844Z,0.4.2,Rational numbers implementation for Rust,https://github.com/rust-num/num-rational,146,57,32,Apache License 2.0,0.16682587003903931,2025-01-25 00:45:16.565243+00:00,73,2016-04-14 07:42:39.085844+00:00,3281,0
prost-types,133493105,28405186,2025-02-12T06:59:33.702587Z,2017-09-10T19:19:37.407643Z,0.13.5,Prost definitions of Protocol Buffers well known types.,https://github.com/tokio-rs/prost,4190,533,213,Apache License 2.0,0.21278391869003271,2025-02-12 06:59:33.702587+00:00,55,2017-09-10 19:19:37.407643+00:00,2766,0
native-tls,133452090,20329676,2025-02-19T19:24:27.427135Z,2016-11-09T21:07:37.761548Z,0.2.14,A wrapper over a platform's native TLS implementation,https://github.com/sfackler/rust-native-tls,503,209,68,Apache License 2.0,0.1523368873428659,2025-02-19 19:24:27.427135+00:00,47,2016-11-09 21:07:37.761548+00:00,3071,0
synstructure,131845206,35166655,2024-01-30T23:45:23.197015Z,2016-10-09T17:25:06.828782Z,0.13.1,Helper methods and macros for custom derives,https://github.com/mystor/synstructure,139,26,12,MIT License,0.26672683874451986,2024-01-30 23:45:23.197015+00:00,433,2016-10-09 17:25:06.828782+00:00,3103,0
hyper-tls,131000505,22122384,2023-11-27T19:18:29.702911Z,2017-01-04T22:41:13.366514Z,0.6.0,Default TLS implementation for use with hyper,https://github.com/hyperium/hyper-tls,193,97,9,Apache License 2.0,0.16887250930826564,2023-11-27 19:18:29.702911+00:00,497,2017-01-04 22:41:13.366514+00:00,3015,0
phf_generator,129960961,24294765,2025-01-06T20:30:28.955489Z,2015-02-22T20:48:14.120861Z,0.11.3,PHF generation logic,https://github.com/rust-phf/rust-phf,1910,122,31,MIT License,0.18693894545762862,2025-01-06 20:30:28.955489+00:00,91,2015-02-22 20:48:14.120861+00:00,3697,0
nu-ansi-term,129378221,28563270,2024-07-23T22:20:55.095113Z,2021-03-09T18:58:03.243547Z,0.50.1,"Library for ANSI terminal colors and styles (bold, underline)",https://github.com/nushell/nu-ansi-term,50,20,2,MIT License,0.22077340203959056,2024-07-23 22:20:55.095113+00:00,258,2021-03-09 18:58:03.243547+00:00,1490,0
winapi-util,128357685,19945075,2024-08-02T21:18:26.472826Z,2018-08-25T02:49:16.521473Z,0.1.9,A dumping ground for high level safe wrappers over windows-sys.,https://github.com/BurntSushi/winapi-util,71,15,5,The Unlicense,0.1553866837034339,2024-08-02 21:18:26.472826+00:00,248,2018-08-25 02:49:16.521473+00:00,2418,0
tower-layer,128084737,26330558,2024-08-13T16:53:54.096608Z,2019-04-27T05:09:34.746381Z,0.3.3,"Decorates a `Service` to allow easy composition between `Service`s.
",https://github.com/tower-rs/tower,3742,292,83,MIT License,0.20557139450581063,2024-08-13 16:53:54.096608+00:00,238,2019-04-27 05:09:34.746381+00:00,2173,0
rustls-native-certs,127912494,27890350,2024-11-21T15:42:54.624993Z,2019-11-04T21:10:51.429223Z,0.8.1,rustls-native-certs allows rustls to use the platform native certificate store,https://github.com/rustls/rustls-native-certs,211,59,2,Other,0.21804242203267493,2024-11-21 15:42:54.624993+00:00,138,2019-11-04 21:10:51.429223+00:00,1981,0
is-terminal,127661442,24108458,2025-03-07T04:26:17.164605Z,2022-01-22T02:08:49.649286Z,0.4.16,Test whether a given stream is a terminal,https://github.com/sunfishcode/is-terminal,49,18,0,MIT License,0.18884682502646336,2025-03-07 04:26:17.164605+00:00,32,2022-01-22 02:08:49.649286+00:00,1172,0
bindgen,126470411,23910169,2024-12-09T15:28:33.905852Z,2014-11-21T10:14:40.304798Z,0.71.1,Automatically generates Rust FFI bindings to C and C++ libraries.,https://github.com/rust-lang/rust-bindgen,4731,736,517,"BSD 3-Clause ""New"" or ""Revised"" License",0.18905741517674043,2024-12-09 15:28:33.905852+00:00,120,2014-11-21 10:14:40.304798+00:00,3791,0
libm,125850951,25326114,2024-10-28T23:34:17.848955Z,2018-07-14T00:41:38.320191Z,0.2.11,libm in pure Rust,https://github.com/rust-lang/libm,626,104,47,Other,0.20123895607272765,2024-10-28 23:34:17.848955+00:00,161,2018-07-14 00:41:38.320191+00:00,2460,0
ordered-float,125759032,22111951,2025-02-17T23:54:22.687988Z,2014-11-11T06:37:25.077211Z,5.0.0,Wrappers for total ordering on floats,https://github.com/reem/rust-ordered-float,270,70,11,MIT License,0.17582793576210096,2025-02-17 23:54:22.687988+00:00,49,2014-11-11 06:37:25.077211+00:00,3801,0
stable_deref_trait,125516892,31666977,2020-07-13T00:17:49.061392Z,2017-03-09T00:11:41.776380Z,1.2.0,"An unsafe marker trait for types like Box and Rc that dereference to a stable address even when moved, and hence can be used with libraries such as owning_ref and rental.
",https://github.com/storyyeller/stable_deref_trait,31,17,6,Apache License 2.0,0.25229255198575185,2020-07-13 00:17:49.061392+00:00,1730,2017-03-09 00:11:41.776380+00:00,2952,0
linked-hash-map,125186389,14182582,2022-06-25T19:52:40.173594Z,2015-03-18T18:42:16.535145Z,0.5.6,A HashMap wrapper that holds key-value pairs in insertion order,https://github.com/contain-rs/linked-hash-map,171,59,8,Apache License 2.0,0.11329172534883165,2022-06-25 19:52:40.173594+00:00,1017,2015-03-18 18:42:16.535145+00:00,3673,0
zstd-safe,124975957,22595331,2025-03-20T14:47:49.625660Z,2017-06-05T01:23:34.324227Z,7.2.4,Safe low-level bindings for the zstd compression library.,https://github.com/gyscos/zstd-rs,558,118,71,MIT License,0.18079742329958715,2025-03-20 14:47:49.625660+00:00,19,2017-06-05 01:23:34.324227+00:00,2864,0
core-foundation-sys,124146821,20853445,2024-08-11T00:48:27.870880Z,2015-10-17T23:55:36.632904Z,0.8.7,Bindings to Core Foundation for macOS,https://github.com/servo/core-foundation-rs,1090,229,110,Other,0.16797405549353536,2024-08-11 00:48:27.870880+00:00,240,2015-10-17 23:55:36.632904+00:00,3460,0
zstd,123792780,22431792,2025-02-20T21:43:13.047065Z,2016-02-22T19:09:34.558501Z,0.13.3,Binding for the zstd compression library.,https://github.com/gyscos/zstd-rs,558,118,71,MIT License,0.18120436426098518,2025-02-20 21:43:13.047065+00:00,46,2016-02-22 19:09:34.558501+00:00,3332,0
deranged,122085673,32195793,2025-03-23T20:25:41.702180Z,2020-12-10T09:24:35.476288Z,0.4.0,Ranged integers,https://github.com/jhpratt/deranged,45,6,1,Apache License 2.0,0.26371475218062645,2025-03-23 20:25:41.702180+00:00,15,2020-12-10 09:24:35.476288+00:00,1580,0
derive_more,121190142,24590019,2025-02-03T20:18:01.121847Z,2016-03-28T22:50:21.567980Z,2.0.1,Adds #[derive(x)] macros for more traits,https://github.com/JelteF/derive_more,1867,129,73,MIT License,0.20290444910940034,2025-02-03 20:18:01.121847+00:00,63,2016-03-28 22:50:21.567980+00:00,3297,0
filetime,121144626,18117482,2024-08-27T20:41:13.398704Z,2015-05-04T23:11:08.402484Z,0.2.25,"Platform-agnostic accessors of timestamps in File metadata
",https://github.com/alexcrichton/filetime,122,60,12,Apache License 2.0,0.14955250264258524,2024-08-27 20:41:13.398704+00:00,223,2015-05-04 23:11:08.402484+00:00,3626,0
prettyplease,120792450,26849852,2025-04-04T22:32:28.491214Z,2022-01-04T17:24:55.368876Z,0.2.32,A minimal `syn` syntax tree pretty-printer,https://github.com/dtolnay/prettyplease,679,32,5,Apache License 2.0,0.22228087930992377,2025-04-04 22:32:28.491214+00:00,3,2022-01-04 17:24:55.368876+00:00,1190,0
num-iter,120294796,21158463,2024-05-04T00:23:07.912201Z,2016-04-14T07:38:23.772296Z,0.1.45,External iterators for generic mathematics,https://github.com/rust-num/num-iter,25,10,1,Apache License 2.0,0.17588843161594456,2024-05-04 00:23:07.912201+00:00,339,2016-04-14 07:38:23.772296+00:00,3281,0
num-complex,120035681,20877391,2025-01-25T00:38:03.406755Z,2016-04-14T07:30:01.269978Z,0.4.6,Complex numbers implementation for Rust,https://github.com/rust-num/num-complex,237,53,22,Apache License 2.0,0.17392654272524183,2025-01-25 00:38:03.406755+00:00,73,2016-04-14 07:30:01.269978+00:00,3281,0
matches,118629487,6822042,2023-01-21T21:21:50.529117Z,2014-12-04T18:37:50.953491Z,0.1.10,"A macro to evaluate, as a boolean, whether an expression matches a pattern.",https://github.com/SimonSapin/rust-std-candidates,89,12,2,MIT License,0.05750713564157957,2023-01-21 21:21:50.529117+00:00,807,2014-12-04 18:37:50.953491+00:00,3777,0
web-sys,118348792,19741243,2025-01-12T23:18:43.343315Z,2018-07-19T19:42:48.824097Z,0.3.77,"Bindings for all Web APIs, a procedurally generated crate from WebIDL
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/web-sys,,,,,0.16680561471214678,2025-01-12 23:18:43.343315+00:00,85,2018-07-19 19:42:48.824097+00:00,2454,1
overload,117159378,25603764,2019-08-10T16:25:33.244486Z,2019-08-06T16:31:47.418402Z,0.1.1,Provides a macro to simplify operator overloading.,https://github.com/danaugrs/overload,16,1,1,MIT License,0.218537896300542,2019-08-10 16:25:33.244486+00:00,2068,2019-08-06 16:31:47.418402+00:00,2072,0
home,115355483,23382351,2024-12-16T15:41:39.426215Z,2017-07-18T23:38:10.759249Z,0.5.11,Shared definitions of home directories.,https://github.com/rust-lang/cargo,13379,2551,1563,Apache License 2.0,0.2026982193815616,2024-12-16 15:41:39.426215+00:00,113,2017-07-18 23:38:10.759249+00:00,2820,0
cipher,115054710,17131196,2025-02-22T19:04:35.531995Z,2015-06-25T05:47:45.505637Z,0.5.0-pre.8,Traits for describing block ciphers and stream ciphers,https://github.com/RustCrypto/traits,641,212,57,,0.14889608604463042,2025-02-22 19:04:35.531995+00:00,44,2015-06-25 05:47:45.505637+00:00,3575,0
pest,113663827,19383493,2025-03-25T06:55:01.914074Z,2016-04-24T09:55:32.814830Z,2.8.0,The Elegant Parser,https://github.com/pest-parser/pest,4862,269,66,Apache License 2.0,0.17053352426713558,2025-03-25 06:55:01.914074+00:00,14,2016-04-24 09:55:32.814830+00:00,3271,0
serde_yaml,113476034,21123675,2024-03-25T00:50:19.759577Z,2016-02-27T06:46:34.205590Z,0.9.34+deprecated,YAML data format for Serde,https://github.com/dtolnay/serde-yaml,987,182,51,Apache License 2.0,0.18615098056740334,2024-03-25 00:50:19.759577+00:00,379,2016-02-27 06:46:34.205590+00:00,3328,0
bit-vec,113206117,24580058,2024-07-16T17:14:52.246887Z,2015-06-03T00:24:01.452515Z,0.8.0,A vector of bits,https://github.com/contain-rs/bit-vec,176,60,39,Apache License 2.0,0.217126588663049,2024-07-16 17:14:52.246887+00:00,266,2015-06-03 00:24:01.452515+00:00,3597,0
axum,112388810,26968261,2025-03-28T16:28:21.427925Z,2021-07-22T13:52:05.710239Z,0.8.3,Web framework that focuses on ergonomics and modularity,https://github.com/tokio-rs/axum,21107,1145,82,,0.23995503644891336,2025-03-28 16:28:21.427925+00:00,11,2021-07-22 13:52:05.710239+00:00,1356,0
prost-build,112385349,21069985,2025-02-12T06:59:48.725436Z,2017-06-25T07:40:34.848805Z,0.13.5,Generate Prost annotated Rust types from Protocol Buffers files.,https://github.com/tokio-rs/prost,4190,533,213,Apache License 2.0,0.18747981998970345,2025-02-12 06:59:48.725436+00:00,55,2017-06-25 07:40:34.848805+00:00,2844,0
zstd-sys,111281971,20519846,2025-03-20T14:47:34.266906Z,2017-03-24T19:18:12.206468Z,2.0.15+zstd.1.5.7,Low-level bindings for the zstd compression library.,https://github.com/gyscos/zstd-rs,558,118,71,MIT License,0.18439506252095408,2025-03-20 14:47:34.266906+00:00,19,2017-03-24 19:18:12.206468+00:00,2936,0
lazycell,110959310,15669014,2020-08-12T01:11:24.894126Z,2016-03-16T03:02:26.011690Z,1.3.0,A library providing a lazily filled Cell struct,https://github.com/indiv0/lazycell,60,17,3,Apache License 2.0,0.14121405405278745,2020-08-12 01:11:24.894126+00:00,1700,2016-03-16 03:02:26.011690+00:00,3310,0
axum-core,110797311,26868129,2025-03-28T16:28:00.340262Z,2021-08-21T16:52:01.594341Z,0.5.2,Core types and traits for axum,https://github.com/tokio-rs/axum,21107,1145,82,,0.2424980241623373,2025-03-28 16:28:00.340262+00:00,11,2021-08-21 16:52:01.594341+00:00,1326,0
der,110644903,28019779,2024-08-18T19:37:31.061995Z,2020-12-17T19:20:36.976898Z,0.8.0-rc.1,"Pure Rust embedded-friendly implementation of the Distinguished Encoding Rules
(DER) for Abstract Syntax Notation One (ASN.1) as described in ITU X.690 with
full support for heapless no_std targets
",https://github.com/RustCrypto/formats,266,142,60,,0.2532405762965873,2024-08-18 19:37:31.061995+00:00,232,2020-12-17 19:20:36.976898+00:00,1572,0
dashmap,110536931,19507994,2025-03-05T17:04:26.384140Z,2019-08-25T18:22:12.397782Z,7.0.0-rc2,Blazing fast concurrent HashMap for Rust.,https://github.com/xacrimon/dashmap,3351,159,53,MIT License,0.17648394815665724,2025-03-05 17:04:26.384140+00:00,34,2019-08-25 18:22:12.397782+00:00,2052,0
signature,110526308,23245395,2025-02-20T09:23:30.867051Z,2018-10-30T23:56:33.764106Z,2.3.0-pre.6,"Traits for cryptographic signature algorithms (e.g. ECDSA, Ed25519)",https://github.com/RustCrypto/traits,641,212,57,,0.21031549339366334,2025-02-20 09:23:30.867051+00:00,47,2018-10-30 23:56:33.764106+00:00,2351,0
crossbeam-queue,110316917,14708002,2024-12-15T15:26:54.563210Z,2018-09-08T19:05:07.396126Z,0.3.12,Concurrent queues,https://github.com/crossbeam-rs/crossbeam,7772,485,150,Apache License 2.0,0.13332499130663705,2024-12-15 15:26:54.563210+00:00,114,2018-09-08 19:05:07.396126+00:00,2403,0
semver-parser,109250454,9275066,2024-11-18T23:14:40.706078Z,2016-05-12T00:45:58.800365Z,0.10.3,"Parsing of the semver spec.
",https://github.com/steveklabnik/semver-parser,35,24,0,Other,0.0848972764909517,2024-11-18 23:14:40.706078+00:00,140,2016-05-12 00:45:58.800365+00:00,3253,0
tokio-native-tls,109090182,18333414,2023-02-07T17:08:45.567482Z,2020-04-03T14:28:46.429426Z,0.3.1,"An implementation of TLS/SSL streams for Tokio using native-tls giving an implementation of TLS
for nonblocking I/O streams.
",https://github.com/tokio-rs/tls,256,87,24,MIT License,0.16805741510267166,2023-02-07 17:08:45.567482+00:00,791,2020-04-03 14:28:46.429426+00:00,1831,0
async-channel,108610291,24100669,2024-05-16T01:34:44.810872Z,2019-05-06T13:07:43.086764Z,2.3.1,Async multi-producer multi-consumer channel,https://github.com/smol-rs/async-channel,843,45,15,Apache License 2.0,0.22190041825778736,2024-05-16 01:34:44.810872+00:00,327,2019-05-06 13:07:43.086764+00:00,2164,0
futures-lite,108291730,22904559,2025-01-12T02:31:27.608134Z,2020-05-31T09:53:26.285174Z,2.6.0,"Futures, streams, and async I/O combinators",https://github.com/smol-rs/futures-lite,500,30,14,Apache License 2.0,0.21150792401229532,2025-01-12 02:31:27.608134+00:00,86,2020-05-31 09:53:26.285174+00:00,1773,0
async-stream,108085813,20495817,2024-10-01T19:36:32.827442Z,2019-06-07T03:31:34.275797Z,0.3.6,Asynchronous streams using async & await notation,https://github.com/tokio-rs/async-stream,671,35,17,Other,0.18962541365165103,2024-10-01 19:36:32.827442+00:00,188,2019-06-07 03:31:34.275797+00:00,2132,0
data-encoding,108040191,21687550,2025-02-09T10:55:07.032768Z,2015-12-05T14:17:01.338342Z,2.8.0,"Efficient and customizable data-encoding functions like base64, base32, and hex",https://github.com/ia0/data-encoding,184,28,6,MIT License,0.20073594649605905,2025-02-09 10:55:07.032768+00:00,58,2015-12-05 14:17:01.338342+00:00,3412,0
tonic,107982427,21421127,2025-03-25T19:14:06.433343Z,2018-07-18T06:55:22.955614Z,0.13.0,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility.
",https://github.com/hyperium/tonic,10723,1061,293,MIT License,0.1983760468728861,2025-03-25 19:14:06.433343+00:00,13,2018-07-18 06:55:22.955614+00:00,2456,0
bincode,107961026,16409826,2025-03-10T18:28:08.334006Z,2014-11-20T20:03:47.604153Z,2.0.1,A binary serialization / deserialization strategy for transforming structs into bytes and vice versa!,https://github.com/bincode-org/bincode,2944,283,30,MIT License,0.15199768479414044,2025-03-10 18:28:08.334006+00:00,28,2014-11-20 20:03:47.604153+00:00,3791,0
