crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
tokio-util,261171620,37302342,2025-03-13T10:24:36.801368Z,2018-02-01T03:25:03.010037Z,0.7.14,"Additional utilities for working with Tokio.
",https://github.com/tokio-rs/tokio,28290,2593,344,MIT License,0.14282693502456353,2025-03-13 10:24:36.801368+00:00,26,2018-02-01 03:25:03.010037+00:00,2623,0
windows_x86_64_gnu,261016922,49976488,2025-01-07T15:42:54.444046Z,2021-10-28T19:27:32.276769Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.19146838303456815,2025-01-07 15:42:54.444046+00:00,91,2021-10-28 19:27:32.276769+00:00,1257,0
tinyvec,260045183,34312047,2025-03-03T04:38:33.236288Z,2020-01-07T02:30:11.536811Z,1.9.0,`tinyvec` provides 100% safe vec-like data structures.,https://github.com/Lokathor/tinyvec,679,51,18,Apache License 2.0,0.13194648177736099,2025-03-03 04:38:33.236288+00:00,36,2020-01-07 02:30:11.536811+00:00,1918,0
tempfile,259856288,41261172,2025-03-19T17:30:21.939513Z,2015-04-14T18:26:06.249019Z,3.19.1,A library for managing temporary files and directories.,https://github.com/Stebalien/tempfile,1272,128,9,Apache License 2.0,0.15878458173003687,2025-03-19 17:30:21.939513+00:00,20,2015-04-14 18:26:06.249019+00:00,3646,0
unicode-xid,259325020,26967099,2024-09-19T15:55:24.420864Z,2015-04-27T01:12:08.811826Z,0.2.6,"Determine whether characters have the XID_Start
or XID_Continue properties according to
Unicode Standard Annex #31.
",https://github.com/unicode-rs/unicode-xid,50,29,6,Other,0.10398957647819713,2024-09-19 15:55:24.420864+00:00,201,2015-04-27 01:12:08.811826+00:00,3634,0
pkg-config,259290882,37579504,2025-03-03T10:04:55.062213Z,2014-11-11T06:37:31.276162Z,0.3.32,"A library to run the pkg-config system tool at build time in order to be used in
Cargo build scripts.
",https://github.com/rust-lang/pkg-config-rs,178,81,34,Apache License 2.0,0.14493183759543077,2025-03-03 10:04:55.062213+00:00,36,2014-11-11 06:37:31.276162+00:00,3801,0
windows_i686_msvc,258493037,49454549,2025-01-07T15:42:50.460248Z,2021-10-27T15:17:41.977374Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.19131868917614211,2025-01-07 15:42:50.460248+00:00,91,2021-10-27 15:17:41.977374+00:00,1259,0
rustc_version,258370315,38031987,2024-08-28T09:21:22.033328Z,2015-08-24T00:54:04.579390Z,0.4.1,A library for querying the version of a installed rustc compiler,https://github.com/djc/rustc-version-rs,59,21,0,Apache License 2.0,0.14719952251480592,2024-08-28 09:21:22.033328+00:00,223,2015-08-24 00:54:04.579390+00:00,3515,0
futures-io,258077120,37281273,2024-10-05T07:06:53.156320Z,2016-07-31T20:58:50.213004Z,0.3.31,"The `AsyncRead`, `AsyncWrite`, `AsyncSeek`, and `AsyncBufRead` traits for the futures-rs library.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.14445787755226036,2024-10-05 07:06:53.156320+00:00,185,2016-07-31 20:58:50.213004+00:00,3172,0
windows_aarch64_msvc,258044566,49462384,2025-01-07T15:42:38.305221Z,2021-11-05T19:17:58.112695Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.1916815562781508,2025-01-07 15:42:38.305221+00:00,91,2021-11-05 19:17:58.112695+00:00,1249,0
http-body,257980356,46140263,2024-07-12T15:49:01.533452Z,2019-04-04T18:06:00.061574Z,1.0.1,"Trait representing an asynchronous, streaming, HTTP request or response body.
",https://github.com/hyperium/http-body,137,63,21,MIT License,0.1788518463785669,2024-07-12 15:49:01.533452+00:00,270,2019-04-04 18:06:00.061574+00:00,2195,0
pin-utils,257856138,37884867,2020-04-22T16:13:27.095776Z,2018-08-06T15:00:31.609789Z,0.1.0,"Utilities for pinning
",https://github.com/rust-lang-nursery/pin-utils,97,16,1,Apache License 2.0,0.14692249443369854,2020-04-22 16:13:27.095776+00:00,1812,2018-08-06 15:00:31.609789+00:00,2437,0
windows_i686_gnu,257585996,49362426,2025-01-07T15:42:42.282152Z,2021-10-28T19:27:12.591562Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.19163474244151069,2025-01-07 15:42:42.282152+00:00,91,2021-10-28 19:27:12.591562+00:00,1257,0
uuid,256279608,39967649,2025-03-14T04:14:24.373430Z,2014-11-11T05:37:37.261193Z,1.16.0,A library to generate and parse UUIDs.,https://github.com/uuid-rs/uuid,1074,213,10,Other,0.15595329379464323,2025-03-14 04:14:24.373430+00:00,25,2014-11-11 05:37:37.261193+00:00,3801,0
h2,255641507,43622882,2025-02-18T19:14:15.226465Z,2017-03-09T22:02:00.510015Z,0.4.8,An HTTP/2 client and server,https://github.com/hyperium/h2,1426,297,76,MIT License,0.17064084198189303,2025-02-18 19:14:15.226465+00:00,48,2017-03-09 22:02:00.510015+00:00,2951,0
